trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",25,0,-126.83965320534809,"{0: 15, 1: 2, 2: 6, 3: 0, 4: 2}",0
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",20,0,-178.53347094244813,"{0: 11, 1: 3, 2: 2, 3: 0, 4: 4}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",20,0,-36.64134736647218,"{0: 13, 1: 3, 2: 4, 3: 0, 4: 0}",1
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",30,0,-195.07411594312555,"{0: 20, 1: 2, 2: 3, 3: 1, 4: 4}",0
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",30,0,-64.72441249162974,"{0: 21, 1: 2, 2: 6, 3: 1, 4: 0}",0
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",25,0,-74.79639088012782,"{0: 17, 1: 3, 2: 4, 3: 0, 4: 1}",0
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",30,0,-87.00634992548576,"{0: 23, 1: 4, 2: 0, 3: 1, 4: 2}",0
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",25,0,-119.28389834394711,"{0: 17, 1: 3, 2: 1, 3: 2, 4: 2}",0
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",20,0,-220.37570570423105,"{0: 9, 1: 0, 2: 5, 3: 3, 4: 3}",0
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",35,12,-116.79932330735974,"{0: 16, 1: 0, 2: 4, 3: 1, 4: 2}",1
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",20,0,-57.33002647577544,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",20,0,-89.83242549483245,"{0: 14, 1: 1, 2: 2, 3: 2, 4: 1}",0
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",25,0,-104.55704052869012,"{0: 19, 1: 1, 2: 2, 3: 1, 4: 2}",0
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",20,0,-107.64168570394003,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 3}",0
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",25,0,-14.278335699982872,"{0: 21, 1: 2, 2: 1, 3: 1, 4: 0}",0
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",20,0,-19.932872693048065,"{0: 18, 1: 1, 2: 0, 3: 0, 4: 1}",0
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",20,10,15.117320950668477,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",25,3,-16.113176276648947,"{0: 20, 1: 0, 2: 1, 3: 0, 4: 1}",1
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",20,0,3.144554686157857,"{0: 17, 1: 2, 2: 1, 3: 0, 4: 0}",0
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",30,7,-50.52262137331304,"{0: 20, 1: 0, 2: 0, 3: 2, 4: 1}",1
1,True,"{'a': 0.0, 'e': 0.0}",30,1,9.005595469245923,"{0: 27, 1: 0, 2: 1, 3: 1, 4: 0}",1
2,True,"{'a': 0.0, 'e': 0.0}",25,14,-13.47019527961133,"{0: 9, 1: 0, 2: 1, 3: 1, 4: 0}",1
3,True,"{'a': 0.0, 'e': 0.0}",30,0,-9.369477232553871,"{0: 27, 1: 0, 2: 2, 3: 1, 4: 0}",0
4,True,"{'a': 0.0, 'e': 0.0}",20,11,16.351527045617804,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
5,True,"{'a': 0.0, 'e': 0.0}",25,0,32.00275984429742,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
6,True,"{'a': 0.0, 'e': 0.0}",35,0,-165.01243613566334,"{0: 27, 1: 1, 2: 2, 3: 1, 4: 4}",0
7,True,"{'a': 0.0, 'e': 0.0}",20,0,-72.18162119356036,"{0: 16, 1: 1, 2: 1, 3: 0, 4: 2}",0
8,True,"{'a': 0.0, 'e': 0.0}",25,0,-4.682725016386413,"{0: 23, 1: 0, 2: 1, 3: 1, 4: 0}",0
9,True,"{'a': 0.0, 'e': 0.0}",20,0,18.850913188874358,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
10,True,"{'a': 0.0, 'e': 0.0}",20,0,12.261834216163681,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
