trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.2, 'e': 0.9980019986673331}",30,0,-126.73691003662526,"{0: 20, 1: 3, 2: 5, 3: 0, 4: 2}",0
2,False,"{'a': 0.2, 'e': 0.9960079893439915}",30,0,-90.43437917507,"{0: 20, 1: 0, 2: 9, 3: 1, 4: 0}",0
3,False,"{'a': 0.2, 'e': 0.9940179640539353}",25,0,-132.5360467448356,"{0: 16, 1: 1, 2: 6, 3: 0, 4: 2}",0
4,False,"{'a': 0.2, 'e': 0.9920319148370607}",30,0,-167.5225328059188,"{0: 18, 1: 2, 2: 6, 3: 2, 4: 2}",0
5,False,"{'a': 0.2, 'e': 0.9900498337491681}",30,0,-97.60681462949309,"{0: 20, 1: 3, 2: 5, 3: 1, 4: 1}",0
6,False,"{'a': 0.2, 'e': 0.9880717128619305}",35,0,-123.27290307287366,"{0: 25, 1: 1, 2: 6, 3: 2, 4: 1}",1
7,False,"{'a': 0.2, 'e': 0.9860975442628619}",25,0,-89.13904359862815,"{0: 16, 1: 4, 2: 3, 3: 1, 4: 1}",0
8,False,"{'a': 0.2, 'e': 0.9841273200552851}",25,0,-217.38061913854358,"{0: 13, 1: 1, 2: 5, 3: 3, 4: 3}",0
9,False,"{'a': 0.2, 'e': 0.9821610323583008}",25,0,-182.8617718257567,"{0: 11, 1: 6, 2: 4, 3: 2, 4: 2}",0
10,False,"{'a': 0.2, 'e': 0.9801986733067553}",30,14,-38.280713217968504,"{0: 11, 1: 2, 2: 2, 3: 1, 4: 0}",1
11,False,"{'a': 0.2, 'e': 0.97824023505121}",35,0,-221.6103865187963,"{0: 19, 1: 3, 2: 10, 3: 0, 4: 3}",0
12,False,"{'a': 0.2, 'e': 0.9762857097579093}",20,0,-109.71580479595792,"{0: 13, 1: 1, 2: 4, 3: 0, 4: 2}",0
13,False,"{'a': 0.2, 'e': 0.9743350896087494}",35,0,-138.5208683496822,"{0: 23, 1: 4, 2: 6, 3: 0, 4: 2}",0
14,False,"{'a': 0.2, 'e': 0.9723883668012469}",30,0,-303.9826601628144,"{0: 17, 1: 2, 2: 3, 3: 2, 4: 6}",0
15,False,"{'a': 0.2, 'e': 0.9704455335485082}",20,0,-68.1432627018403,"{0: 15, 1: 1, 2: 2, 3: 1, 4: 1}",0
16,False,"{'a': 0.2, 'e': 0.9685065820791976}",30,0,-163.0174067408001,"{0: 19, 1: 2, 2: 5, 3: 2, 4: 2}",0
17,False,"{'a': 0.2, 'e': 0.9665715046375066}",25,0,-78.63672860673402,"{0: 18, 1: 1, 2: 4, 3: 1, 4: 1}",0
18,False,"{'a': 0.2, 'e': 0.9646402934831231}",20,0,-71.51495590313435,"{0: 13, 1: 3, 2: 3, 3: 0, 4: 1}",0
19,False,"{'a': 0.2, 'e': 0.9627129408911995}",25,0,-102.10147555967252,"{0: 17, 1: 3, 2: 1, 3: 3, 4: 1}",0
20,False,"{'a': 0.2, 'e': 0.9607894391523232}",20,0,-15.523701010113788,"{0: 17, 1: 1, 2: 1, 3: 1, 4: 0}",0
21,False,"{'a': 0.2, 'e': 0.9588697805724845}",30,0,-114.11935533607397,"{0: 17, 1: 3, 2: 8, 3: 2, 4: 0}",0
22,False,"{'a': 0.2, 'e': 0.9569539574730467}",25,0,-170.66713394082612,"{0: 13, 1: 2, 2: 6, 3: 2, 4: 2}",0
23,False,"{'a': 0.2, 'e': 0.9550419621907147}",25,0,-165.67713158714665,"{0: 15, 1: 0, 2: 7, 3: 0, 4: 3}",0
24,False,"{'a': 0.2, 'e': 0.9531337870775047}",30,0,-94.25106764287077,"{0: 20, 1: 1, 2: 7, 3: 2, 4: 0}",0
25,False,"{'a': 0.2, 'e': 0.951229424500714}",30,0,-180.7042965541107,"{0: 18, 1: 5, 2: 2, 3: 2, 4: 3}",0
26,False,"{'a': 0.2, 'e': 0.9493288668428895}",20,0,-133.034355524537,"{0: 12, 1: 1, 2: 4, 3: 1, 4: 2}",0
27,False,"{'a': 0.2, 'e': 0.9474321065017983}",25,0,-132.1472933213888,"{0: 16, 1: 0, 2: 7, 3: 0, 4: 2}",0
28,False,"{'a': 0.2, 'e': 0.9455391358903963}",20,0,-84.0403202680702,"{0: 12, 1: 0, 2: 6, 3: 2, 4: 0}",0
29,False,"{'a': 0.2, 'e': 0.9436499474367985}",25,0,-127.47219090320078,"{0: 19, 1: 1, 2: 2, 3: 0, 4: 3}",0
30,False,"{'a': 0.2, 'e': 0.9417645335842487}",25,0,-235.5692732329203,"{0: 12, 1: 2, 2: 6, 3: 1, 4: 4}",0
31,False,"{'a': 0.2, 'e': 0.9398828867910889}",20,0,-115.92725325541916,"{0: 12, 1: 1, 2: 4, 3: 2, 4: 1}",0
32,False,"{'a': 0.2, 'e': 0.9380049995307295}",20,0,-123.99046251458337,"{0: 11, 1: 3, 2: 4, 3: 0, 4: 2}",0
33,False,"{'a': 0.2, 'e': 0.9361308642916188}",25,0,-89.81951230583026,"{0: 17, 1: 1, 2: 6, 3: 0, 4: 1}",0
34,False,"{'a': 0.2, 'e': 0.9342604735772135}",25,0,-60.17705545614474,"{0: 19, 1: 2, 2: 3, 3: 0, 4: 1}",0
35,False,"{'a': 0.2, 'e': 0.9323938199059483}",25,0,-115.10188746001326,"{0: 15, 1: 1, 2: 7, 3: 1, 4: 1}",0
36,False,"{'a': 0.2, 'e': 0.9305308958112057}",20,0,-99.59497684017349,"{0: 9, 1: 2, 2: 8, 3: 1, 4: 0}",0
37,False,"{'a': 0.2, 'e': 0.9286716938412872}",20,0,-139.83392481371976,"{0: 11, 1: 1, 2: 5, 3: 1, 4: 2}",0
38,False,"{'a': 0.2, 'e': 0.9268162065593822}",20,0,-184.83840893216208,"{0: 11, 1: 2, 2: 3, 3: 0, 4: 4}",0
39,False,"{'a': 0.2, 'e': 0.9249644265435393}",30,1,-191.0124495362039,"{0: 17, 1: 2, 2: 6, 3: 1, 4: 3}",1
40,False,"{'a': 0.2, 'e': 0.9231163463866358}",25,10,-66.43419445289884,"{0: 11, 1: 0, 2: 2, 3: 1, 4: 1}",1
41,False,"{'a': 0.2, 'e': 0.9212719586963487}",30,0,-200.0638350874397,"{0: 14, 1: 3, 2: 8, 3: 4, 4: 1}",0
42,False,"{'a': 0.2, 'e': 0.9194312560951247}",25,0,-144.3848490710608,"{0: 14, 1: 2, 2: 7, 3: 0, 4: 2}",0
43,False,"{'a': 0.2, 'e': 0.9175942312201509}",25,3,-136.5396415254973,"{0: 13, 1: 1, 2: 5, 3: 1, 4: 2}",1
44,False,"{'a': 0.2, 'e': 0.9157608767233256}",25,0,-133.87376991276435,"{0: 16, 1: 2, 2: 4, 3: 1, 4: 2}",0
45,False,"{'a': 0.2, 'e': 0.9139311852712282}",25,0,-273.00626224580134,"{0: 13, 1: 0, 2: 5, 3: 2, 4: 5}",0
46,False,"{'a': 0.2, 'e': 0.9121051495450904}",20,0,-141.629460216919,"{0: 13, 1: 1, 2: 3, 3: 0, 4: 3}",0
47,False,"{'a': 0.2, 'e': 0.910282762240767}",20,0,-51.37926706770361,"{0: 13, 1: 1, 2: 6, 3: 0, 4: 0}",0
48,False,"{'a': 0.2, 'e': 0.9084640160687062}",20,0,-48.89759260202582,"{0: 16, 1: 1, 2: 0, 3: 3, 4: 0}",0
49,False,"{'a': 0.2, 'e': 0.9066489037539209}",20,0,-97.68728335517983,"{0: 9, 1: 2, 2: 8, 3: 1, 4: 0}",0
50,False,"{'a': 0.2, 'e': 0.9048374180359595}",20,6,-52.699226933614966,"{0: 9, 1: 2, 2: 1, 3: 2, 4: 0}",1
