trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",20,0,-51.81233759910986,"{0: 14, 1: 0, 2: 5, 3: 1, 4: 0}",0
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",25,0,-123.79059095117915,"{0: 14, 1: 4, 2: 4, 3: 2, 4: 1}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",20,0,-112.48133213405359,"{0: 8, 1: 2, 2: 9, 3: 1, 4: 0}",0
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",20,0,-73.64879799066267,"{0: 11, 1: 7, 2: 1, 3: 0, 4: 1}",0
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",20,0,-105.41967552189247,"{0: 14, 1: 3, 2: 0, 3: 1, 4: 2}",0
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",20,0,-26.64764968990202,"{0: 14, 1: 3, 2: 3, 3: 0, 4: 0}",0
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",20,0,-52.37168952338287,"{0: 16, 1: 0, 2: 3, 3: 0, 4: 1}",0
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",20,0,-79.0216964416661,"{0: 12, 1: 1, 2: 5, 3: 2, 4: 0}",0
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",30,0,-113.48078709169121,"{0: 16, 1: 1, 2: 13, 3: 0, 4: 0}",0
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",30,0,-82.54882246395864,"{0: 19, 1: 6, 2: 3, 3: 2, 4: 0}",0
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",20,0,-115.73056186040374,"{0: 13, 1: 1, 2: 3, 3: 1, 4: 2}",0
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",20,5,-52.86651400030741,"{0: 9, 1: 1, 2: 4, 3: 1, 4: 0}",1
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",25,0,-89.69708666813162,"{0: 17, 1: 1, 2: 5, 3: 1, 4: 1}",0
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",20,0,-93.42245070897803,"{0: 14, 1: 2, 2: 2, 3: 0, 4: 2}",0
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",20,0,-22.61862111262074,"{0: 16, 1: 2, 2: 1, 3: 1, 4: 0}",0
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",20,0,-171.78098909359272,"{0: 11, 1: 1, 2: 4, 3: 1, 4: 3}",0
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",20,0,-62.30382310880874,"{0: 12, 1: 3, 2: 4, 3: 1, 4: 0}",0
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",20,0,-98.03017187766845,"{0: 8, 1: 4, 2: 7, 3: 1, 4: 0}",0
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",20,0,-18.438138689277107,"{0: 17, 1: 0, 2: 2, 3: 1, 4: 0}",0
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",30,0,-101.85049190363885,"{0: 21, 1: 3, 2: 4, 3: 0, 4: 2}",0
1,True,"{'a': 0.0, 'e': 0.0}",20,0,-105.62796031429717,"{0: 12, 1: 1, 2: 5, 3: 1, 4: 1}",0
2,True,"{'a': 0.0, 'e': 0.0}",25,0,-209.39784597884062,"{0: 15, 1: 1, 2: 4, 3: 1, 4: 4}",0
3,True,"{'a': 0.0, 'e': 0.0}",20,0,-84.11990649274324,"{0: 11, 1: 1, 2: 7, 3: 1, 4: 0}",0
4,True,"{'a': 0.0, 'e': 0.0}",20,0,-86.19978765595079,"{0: 13, 1: 2, 2: 3, 3: 1, 4: 1}",0
5,True,"{'a': 0.0, 'e': 0.0}",30,13,-34.0506332920085,"{0: 13, 1: 0, 2: 3, 3: 1, 4: 0}",1
6,True,"{'a': 0.0, 'e': 0.0}",20,0,-136.0814691194775,"{0: 11, 1: 3, 2: 3, 3: 1, 4: 2}",0
7,True,"{'a': 0.0, 'e': 0.0}",30,0,-241.38124028363438,"{0: 16, 1: 3, 2: 5, 3: 2, 4: 4}",0
8,True,"{'a': 0.0, 'e': 0.0}",30,0,-95.46030041920194,"{0: 17, 1: 5, 2: 7, 3: 1, 4: 0}",0
9,True,"{'a': 0.0, 'e': 0.0}",20,0,-164.0714769252869,"{0: 10, 1: 3, 2: 2, 3: 3, 4: 2}",0
10,True,"{'a': 0.0, 'e': 0.0}",25,5,-118.72366223483358,"{0: 12, 1: 1, 2: 5, 3: 0, 4: 2}",1
